用户ID,用户名,每日投注累积,日期
1393747,a032a,150,20151008
860887,a1052923843,18,20151008
1314512,a1074529643,12.6,20151008
1071809,a1076225822,8820,20151008
1112093,a11468476,100,20151008
1271786,a12010357,65.2,20151008
1373969,a1300425211,104.2,20151008
1237075,a13346560676,1450,20151008
1397544,a1350401a,552.6,20151008
1398934,a13753378236,20,20151008
1091880,a138138138a,58,20151008
1394195,a13897899248,22,20151008
1405633,a13923008632,539,20151008
1043481,a13964363450,1731.2,20151008
1077615,a1415919416,190,20151008
1401417,a15044052940,14,20151008
1268220,a15218998588,6972,20151008
1403934,a1690288599,0.2,20151008
841565,a18254355259,1699,20151008
1375363,a18323290752,3962.4,20151008
1405826,a18795987377,214,20151008
1269244,a198509120,6,20151008
1403747,a215943026,48.8,20151008
1334928,a2281062,352,20151008
1384339,a23875509,40,20151008
1185553,a279931273,139.8,20151008
1317360,a284801231,1905.4,20151008
1370662,a292587780,0.4,20151008
1380481,a304463242,24892,20151008
1090090,a3423708,34,20151008
1081054,a365661,52,20151008
872214,a368963091,84.4,20151008
1004202,a379957742,2,20151008
1287678,a464519762,31.4,20151008
1367460,a476370121,4,20151008
1368450,a525458246,12,20151008
1212656,a530894452,2,20151008
1307847,a5518,18.6,20151008
1381435,a555555,179.2,20151008
1246285,a569455312,28,20151008
1236339,a5890369,3906,20151008
1369792,a6660666,22.4,20151008
1254459,a6666,16,20151008
1304654,a692672,103.2,20151008
1298802,a695983734,2,20151008
1178320,a841209592,9.6,20151008
1375927,a8582813,3636,20151008
1380639,a8883888,42,20151008
1045851,a910901,212,20151008
819760,a916164,4,20151008
1403091,a970418,2.8,20151008
1207818,aa051881,0.8,20151008
1403105,aa10652375,0.2,20151008
1405733,aa106523753,2.2,20151008
1400457,aa1065237533,0.6,20151008
1393449,aa1066010646,140,20151008
1384477,aa2580s,1,20151008
967431,aa2689122669,58,20151008
1403406,aa6625253,13.4,20151008
1309744,aaa6688520,890,20151008
1218977,aaa987aaa,4,20151008
1105222,aaaaa138,966,20151008
1292515,aaawbf1888,0.2,20151008
1082784,aakk123,277.6,20151008
1386237,ab198456,305,20151008
1298827,abb411,3.2,20151008
1373573,abc0769,844.2,20151008
1366512,abc2927264,20,20151008
1325271,abc441045976,20,20151008
814771,abcabc6688,84,20151008
1406165,abcde12345678,2.6,20151008
1244154,ac335512,735.6,20151008
700530,ad88015,61.2,20151008
1266271,ag845381060,38,20151008
1390411,aicaiwuge518,696,20151008
1183449,aichun,10.4,20151008
1277544,aiqingqing,7.6,20151008
1404728,alawncai,68.4,20151008
1385353,alexeryy68,17.8,20151008
1281558,andy哥,1284,20151008
1327865,angela0528,0.2,20151008
1381406,angus1112,24,20151008
1263117,ankejun,8.4,20151008
1036382,apap8888,8,20151008
1384252,apt123,6,20151008
1243776,aqlfl888,150,20151008
1212276,as007地主,993.2,20151008
437764,as71850,114,20151008
1303799,asako,336,20151008
920586,asd133201,8,20151008
1406730,asd352000488asd,1000,20151008
357207,asd9898,214,20151008
1204293,aswzxsh0219,8,20151008
1381917,atm654844757,8,20151008
997571,awdtankdd,5964.6,20151008
1380488,ayztlx,3,20151008
1403975,a官伟朱莉,57.8,20151008
1266599,a摩河般若,2,20151008
1392477,b113113,242.4,20151008
1272515,b122032297,44,20151008
1179242,b2959458016,13,20151008
1327732,b35970607,34.6,20151008
1370420,b5518,1078,20151008
1257266,babadan512,1120,20151008
814754,baby678,99.8,20151008
1400053,bai1593361,2,20151008
1364712,bai52177,2,20151008
1399862,baishifa1990,52,20151008
1402665,baiyaqi1105,44,20151008
1230206,banerjiu,2,20151008
1317827,baobao110,367.8,20151008
1266872,baojun123,386,20151008
955283,baosheng988,2,20151008
1057048,baozhenjie888,1.2,20151008
1291046,bb923,951.8,20151008
1388700,bbddff55,16,20151008
1295559,bbff119,2486.8,20151008
1312421,bdt123,42,20151008
875802,benlu111,70,20151008
867904,benlu88,9638,20151008
1192421,bensile,6,20151008
1289792,bing1314521,208,20151008
931336,bingggg8888,2,20151008
1382208,blackwhite,27.8,20151008
1393373,blp216,0.4,20151008
450935,bmw518,10,20151008
1170358,boboaiav619,20,20151008
887063,bobxuan521,672,20151008
216390,book09,2,20151008
216391,book10,3776.8,20151008
1380638,boss小天,1.2,20151008
1241547,bots1987,15.2,20151008
1404182,bozhong,2.8,20151008
1272022,bs800wan,4,20151008
599053,bto197733,20,20151008
358862,bushi518,58,20151008
1375476,byx123,50,20151008
1225824,c81384358,2,20151008
1256979,caiba126,26,20151008
1392103,caibutou1989,1.2,20151008
1394634,caican88,664,20151008
1343467,caili5,4,20151008
1395193,caixiaoxiong,260,20151008
1397393,caiyuan,1124.6,20151008
1392402,catyouhuo0,54.8,20151008
1379053,cb666528,170,20151008
1401589,cc1228222783,3.4,20151008
1001210,cccdd88,7.2,20151008
1399243,cchenenlai,0.2,20151008
1375216,cgs152890,1.2,20151008
1374003,chen0536,2,20151008
1375912,chen5968462,4,20151008
1289357,chen641096645,15308.8,20151008
1391676,chen87854689,330,20151008
1273445,chen8961788,18070,20151008
1398329,chen986334,956,20151008
1405726,chenbenke,49.2,20151008
1376292,chenchen1108,10,20151008
1378498,chengtuozaixin,128,20151008
1293539,chenyancheng,1,20151008
1067213,choushe,1231.6,20151008
966772,chuancaizhong,452.2,20151008
1376920,chw6767,2.4,20151008
1270989,chyz777,540.8,20151008
1225834,cici117,10.6,20151008
827233,cjm666666,2397.2,20151008
1338692,ckbuguniao,654,20151008
1189773,ckik520,24.8,20151008
438008,cncn91,20.4,20151008
1337193,cnmei,112,20151008
873747,cntv11,20,20151008
1279428,cp1234,2,20151008
445860,cp3888,10,20151008
1039279,cq2014888,6,20151008
963050,crazyjunjia2014,2821.4,20151008
1235677,cs3d发发,880,20151008
1373210,csy29398863,295,20151008
734432,cubs169,7600,20151008
1365811,cuikun,3.2,20151008
1272345,cxj261128217,1.8,20151008
875075,cxks517,5.8,20151008
1382806,cy10410935,9.4,20151008
1372682,cy19820215,878.4,20151008
1304610,cymazgs,2,20151008
916239,czd88787699,691.6,20151008
1029896,czls888,758,20151008
737987,czm16888,7392,20151008
1048219,d3dyucedayingjia,60,20151008
1398802,dacai,100,20151008
1406998,dafu1314,6,20151008
1116174,dage1288,54,20151008
1239228,dai13630450176,1634.8,20151008
1326986,dajunwoaini,318,20151008
1384778,dalongwudi,0.6,20151008
1404188,dalongwudi1,1.8,20151008
1106432,danding007007,72,20151008
1104462,danzong456,2.4,20151008
1381260,dap123456,30,20151008
1192071,datiantalent,2104.4,20151008
1138491,dawei2018,173.6,20151008
897914,dazhi373,82,20151008
1398304,dbq1314,1,20151008
867527,dd1939,70,20151008
1369520,dengquan,1.4,20151008
1286329,df0371,0.2,20151008
957165,dhj868dhj,66,20151008
907530,diguazhd0,17,20151008
1172044,dingdang4886,302,20151008
278916,dingdatou110,128,20151008
1288143,dissummer,2,20151008
874989,dj3377,10.6,20151008
1403175,djll888888,1816,20151008
1169377,djx1688,37,20151008
1286369,djx1712,13.2,20151008
1382183,dlf13930712228,0.4,20151008
1369551,donguoliang,60,20151008
1381538,dongxiansheng,1,20151008
1339760,drang168,0.4,20151008
1295600,ds838,2128.6,20151008
1377018,dsf1122,28,20151008
1404518,dudusam,24,20151008
1401229,dujiheng,202.8,20151008
1372090,duoneng,48.8,20151008
1259420,dvd010,154,20151008
1325912,dxr2729134537,286.8,20151008
1336359,dzd312213390,20,20151008
1000114,ea554381,15.6,20151008
782391,eagle123,540,20151008
1215209,easyearn,22,20151008
1224753,ebest777,35,20151008
1384935,edc1770,5.2,20151008
689939,eff021,3128,20151008
1031708,eqzhanghanhui,2754,20151008
1245064,ersha1314,2,20151008
629232,fa1148,6.6,20151008
1224949,fa16868,200,20151008
1367156,fa78654,1.6,20151008
1216666,facai6888,50,20151008
1219425,fafa88188,100,20151008
626187,fafa8829,32,20151008
626188,fafa8830,5.2,20151008
1288719,fafafa5588,2,20151008
1353517,fan349,936,20151008
560432,fangdongbai123,2,20151008
1370183,fangyi379328607,158,20151008
1393056,fanzhonghua,352.8,20151008
1397082,fbjk14,226,20151008
1294994,fdc858,2434.8,20151008
1239827,fdr2lyh,70,20151008
974146,feidudu188,200,20151008
1150678,feiyuld,280,20151008
791014,feng201388,10,20151008
1404894,feng31233333,26.2,20151008
1294181,fenghuangqxl1128,16,20151008
1088174,fengliu20070214,146,20151008
1379944,fengwan1119,20,20151008
1391026,fengzi28368,604,20151008
718238,ff0031,4,20151008
1299696,ff1588,2,20151008
1367826,ffang9151,4,20151008
856710,fff570,3496,20151008
1259841,fff767864202,6.6,20151008
1333577,fff9988,192,20151008
1267011,ffffff888,7,20151008
1248374,fg34518,148,20151008
1404423,fgx1015,250,20151008
1322475,fg雪儿,6,20151008
1388244,fh0539001,9.2,20151008
960577,fh1670293907,4,20151008
651945,fh18750,16.8,20151008
1016647,fh2285,110,20151008
538107,fhfacai222,2,20151008
1105861,fhfh40866,34,20151008
983494,fhl2468,2629.6,20151008
1223921,firefly12,5474.8,20151008
1176898,fjytjpqx,22,20151008
1016240,flt8889,158,20151008
1228462,flying,238,20151008
1273595,fox760317,100,20151008
1405556,fu625895449,0.6,20151008
792968,fulushou,6.4,20151008
803268,fuman2013,1,20151008
885167,fuyang008,232,20151008
1391972,fxbb007,204,20151008
1277656,fxtd123,288.6,20151008
1381373,g18500211986,24,20151008
1275733,g673825139,346,20151008
1365138,gaoru2015,226.4,20151008
1340544,gaoyunxiang,40.8,20151008
1109722,gb83932996,14,20151008
1031035,gbl691407543,14.2,20151008
1087535,gcx900307,22460,20151008
1385017,geiqian886,75,20151008
919350,geli12,4,20151008
1238250,gfdsa8898,50,20151008
1374954,gg031122,432,20151008
1406825,ggncywn666,1,20151008
1103371,gh13934653257,18,20151008
1372838,gjh2787068,3,20151008
1064683,gllz123456,5,20151008
1381848,goudan,293.4,20151008
968099,guanggao1800,33,20151008
1364197,guilin520,1.2,20151008
1404869,guo8661,122,20151008
1170153,guo8704,1663.6,20151008
1052500,guofenggongren4,2,20151008
1404442,gxd518,10,20151008
1088896,gxw2015,6,20151008
1379762,gy5777,31010,20151008
1149463,gzmocr,4,20151008
1404083,h18696577351,100,20151008
965415,h2345g,2,20151008
1108285,h55307,38,20151008
549712,h845637552,24,20151008
1387997,hai19870730,1033,20151008
1337422,haibo863,16.4,20151008
1152651,haier4030,0.6,20151008
913726,haifeng006,24,20151008
1397845,haixin926,3.2,20151008
1262640,han900619,396,20151008
790292,handun11168,84,20151008
1288248,hangggg4645,1218,20151008
1187445,hanyu,2,20151008
805548,haof688,2,20151008
1197107,haohao123123,983.2,20151008
1369933,happyhour,2,20151008
1305594,hc123,66.8,20151008
1286370,he4441,0.2,20151008
820501,hehua666,2,20151008
721836,heiye888,25.8,20151008
1271235,heiying886,2,20151008
1308159,helin666,196,20151008
931005,helloyao8,304.8,20151008
955205,hermant99,5056.2,20151008
1366890,hg6137,28,20151008
1404956,hhe44,0.8,20151008
1383686,hilly,116,20151008
1148411,hkanson666,3.4,20151008
867511,hm1368484,10.8,20151008
1374769,hmf0106,0.2,20151008
