用户ID,用户名,每日投注累积,日期
465314,2345hw,10,20150925
1393747,a032a,1990,20150925
1314512,a1074529643,8,20150925
1298159,a1106450217,10,20150925
1271786,a12010357,57.4,20150925
1373969,a1300425211,714.2,20150925
1237075,a13346560676,1212,20150925
1254167,a13697807862,50,20150925
1382195,a13795009645a,2.4,20150925
1091880,a138138138a,8,20150925
1043481,a13964363450,30,20150925
1130771,a1506396250,560,20150925
1268220,a15218998588,6245.6,20150925
959466,a152750,1145.6,20150925
1376086,a15885777782,1000,20150925
1333252,a1678329723,23,20150925
841565,a18254355259,0.6,20150925
1269244,a198509120,4,20150925
1008019,a20130904,10,20150925
1334928,a2281062,196,20150925
1155578,a2512347gf,68.6,20150925
1353546,a2822781,911,20150925
1317360,a284801231,1673.2,20150925
1370662,a292587780,16,20150925
1389518,a32100105,250,20150925
1374490,a33313333,14.6,20150925
1090090,a3423708,4,20150925
1396584,a445667512,64.2,20150925
1200001,a4575975,469.4,20150925
1287678,a464519762,42,20150925
1367460,a476370121,92,20150925
1282646,a52346740,196,20150925
1368851,a52950309,70,20150925
1381435,a555555,380.8,20150925
1322244,a569892187,26,20150925
1236339,a5890369,21575,20150925
1372621,a611271,158.4,20150925
993227,a663303,390,20150925
1369792,a6660666,88.4,20150925
1365959,a6661666,0.8,20150925
1254459,a6666,44,20150925
1304654,a692672,29,20150925
1369657,a78447255,2.4,20150925
1178320,a841209592,1.8,20150925
1096455,a86315422,254,20150925
1373491,a877890477,44,20150925
1394410,a8881271,1962.6,20150925
1380639,a8883888,22,20150925
1278848,a920117,1.2,20150925
1387507,a9993999,3,20150925
1268019,aa122073440,8,20150925
1270472,aa1789aa,0.6,20150925
1334699,aa284999239,0.8,20150925
1396579,aa736772694aa,26.6,20150925
1393951,aa94220865,2,20150925
1176035,aaa1217047638,4,20150925
814358,aaa168b666,27,20150925
1309744,aaa6688520,420,20150925
1319911,aaa812319964,8.8,20150925
1386237,ab198456,145.2,20150925
1373573,abc0769,132.4,20150925
1381708,abc13734617792,1.8,20150925
1336299,abc150833,0.4,20150925
1366512,abc2927264,20,20150925
1276525,abc333666999,0.2,20150925
1325271,abc441045976,67.2,20150925
814771,abcabc6688,14,20150925
1244154,ac335512,872.8,20150925
700530,ad88015,21.2,20150925
1289838,adu121121,50,20150925
1195993,afuhong2015,6,20150925
1266271,ag845381060,60,20150925
1306380,ahuiaini11,6,20150925
1336383,ai110721905,2,20150925
890001,aibuzai2013,1,20150925
1390411,aicaiwuge518,1260,20150925
1183449,aichun,1,20150925
1338892,ailaibao,4550,20150925
951851,aiqi1314,13,20150925
1277544,aiqingqing,8.4,20150925
1385353,alexeryy68,3,20150925
1396319,amant,291,20150925
1381406,angus1112,60,20150925
1269206,anhaovip1,18,20150925
