用户ID,用户名,每日投注累积,日期
1393747,a032a,4986,20151006
1314512,a1074529643,11,20151006
1366020,a11443068,14,20151006
1112093,a11468476,300,20151006
1271786,a12010357,25.8,20151006
1373969,a1300425211,76.8,20151006
1237075,a13346560676,2942,20151006
1397544,a1350401a,715.8,20151006
1374854,a13515443596,5.8,20151006
1043481,a13964363450,975,20151006
1401417,a15044052940,20,20151006
1268220,a15218998588,3154.8,20151006
959466,a152750,12313.8,20151006
1377632,a15778,22,20151006
1276226,a1581122,2,20151006
1109909,a1614268227,8,20151006
1403934,a1690288599,0.4,20151006
1375363,a18323290752,4483.4,20151006
1110693,a18996082532,21.2,20151006
1269244,a198509120,4,20151006
1403747,a215943026,719,20151006
1334928,a2281062,170,20151006
1236880,a250725910,69.4,20151006
1155578,a2512347gf,3595.2,20151006
1185553,a279931273,56,20151006
1353546,a2822781,32,20151006
1317360,a284801231,2721.2,20151006
1393224,a292566914,110,20151006
1380481,a304463242,10197.2,20151006
1090090,a3423708,96,20151006
1382419,a34645656,2,20151006
1166922,a348173175,2,20151006
1081054,a365661,50,20151006
1393724,a3685799,2,20151006
872214,a368963091,20,20151006
1197487,a418507820,2,20151006
998980,a455221112,4,20151006
1287678,a464519762,27.6,20151006
1368450,a525458246,12,20151006
1089782,a529302798,2,20151006
1212656,a530894452,2,20151006
1381435,a555555,1422.4,20151006
1322244,a569892187,2,20151006
1236339,a5890369,16297.6,20151006
1404512,a623983441,184.4,20151006
1384450,a664165039,18,20151006
1369792,a6660666,42,20151006
1365959,a6661666,229.2,20151006
1254459,a6666,68,20151006
1304654,a692672,90.2,20151006
1211666,a740908,2,20151006
1375927,a8582813,2870,20151006
1373491,a877890477,52,20151006
1380639,a8883888,100,20151006
1045851,a910901,116,20151006
819760,a916164,68,20151006
1091741,a91670,4,20151006
1278848,a920117,0.2,20151006
1400457,aa1065237533,0.8,20151006
1393449,aa1066010646,106,20151006
1263538,aa13249390130,9,20151006
1334699,aa284999239,0.4,20151006
1402509,aa352000488,3,20151006
1111558,aa5310,236.4,20151006
1309744,aaa6688520,1200,20151006
1378564,aaaa147258,260,20151006
1105222,aaaaa138,230,20151006
1398532,ab632514869,12.6,20151006
1373573,abc0769,769,20151006
1336299,abc150833,2.6,20151006
1276525,abc333666999,0.4,20151006
1325271,abc441045976,16,20151006
1088046,abc4693,0.2,20151006
814771,abcabc6688,14,20151006
222738,abcd15,0.6,20151006
222742,abcd17,300,20151006
1261883,abcd888,4,20151006
1178271,abcdefgwyy,12.6,20151006
1244154,ac335512,2,20151006
700530,ad88015,55,20151006
1289838,adu121121,6,20151006
1399375,af3117915,2.4,20151006
1195993,afuhong2015,4,20151006
1266271,ag845381060,24,20151006
1336383,ai110721905,2,20151006
1110119,ai5752,3.2,20151006
852467,aibili2013,0.6,20151006
1390411,aicaiwuge518,449.8,20151006
1183449,aichun,8.8,20151006
1277544,aiqingqing,3,20151006
1404728,alawncai,172,20151006
1385353,alexeryy68,1.6,20151006
1381793,amay8,1,20151006
1327865,angela0528,1,20151006
1381406,angus1112,2.4,20151006
1269206,anhaovip1,0.2,20151006
1263117,ankejun,52.8,20151006
1384252,apt123,1.8,20151006
1243776,aqlfl888,40,20151006
1212276,as007地主,964.4,20151006
437764,as71850,34,20151006
1184626,as8420989,0.2,20151006
1303799,asako,480,20151006
920586,asd133201,16,20151006
357207,asd9898,524,20151006
586793,aswzm2102855,2,20151006
1204293,aswzxsh0219,8,20151006
1381917,atm654844757,10,20151006
997571,awdtankdd,4279,20151006
1380488,ayztlx,6995,20151006
1250996,ayzxzxzxzx,0.6,20151006
1343305,a纯属娱乐a,2,20151006
1403975,a官伟朱莉,23,20151006
1272515,b122032297,87,20151006
1367532,b1298141806,2,20151006
942091,b19999,30,20151006
1179242,b2959458016,11.8,20151006
1370420,b5518,1114.4,20151006
1257266,babadan512,16800,20151006
814754,baby678,69,20151006
1395094,baihailong528,0.4,20151006
1399862,baishifa1990,41.2,20151006
1402665,baiyaqi1105,212,20151006
1230206,banerjiu,2,20151006
1266872,baojun123,338,20151006
1295559,bbff119,102.4,20151006
1312421,bdt123,74,20151006
1403506,bdzhangyu,2,20151006
875802,benlu111,258,20151006
867904,benlu88,17432,20151006
618634,bf1188,0.6,20151006
703633,bhzb666,120,20151006
1382282,bianhao12138,2,20151006
1334416,bin5201314chao,0.2,20151006
1289792,bing1314521,112,20151006
1314107,blacking123,20,20151006
450935,bmw518,26,20151006
1339679,bo0605an520,2,20151006
1185180,boboaiav520,24,20151006
887063,bobxuan521,67.2,20151006
216391,book10,710.4,20151006
1241547,bots1987,12.2,20151006
1404182,bozhong,1.2,20151006
1272022,bs800wan,4,20151006
1294113,bsknui521,10,20151006
599053,bto197733,62,20151006
1187240,bxk888,6,20151006
1375476,byx123,30,20151006
1397426,c15556787887,470,20151006
1276871,c18958972,5,20151006
1256979,caiba126,28.2,20151006
1394634,caican88,217,20151006
1399184,caidajie,40,20151006
1397393,caiyuan,65,20151006
1330984,caizi520,11.2,20151006
1163364,candy2018,1130,20151006
1158206,carteryjpgfss,6372,20151006
1379053,cb666528,120,20151006
1401589,cc1228222783,2,20151006
1279108,cc19891114,40,20151006
1380075,ccb13834396936,40,20151006
1001210,cccdd88,9.8,20151006
1399243,cchenenlai,0.6,20151006
712927,ccjlj6888,2,20151006
1268069,cct88,700,20151006
1393551,cc张张是有光123,0.6,20151006
