用户ID,用户名,每日投注累积,日期
1393747,a032a,1444,20151004
1101961,a03743a,170,20151004
1314512,a1074529643,28.6,20151004
1298159,a1106450217,20,20151004
1366020,a11443068,16,20151004
1112093,a11468476,100,20151004
1373969,a1300425211,1316.6,20151004
1278474,a13343722508,2,20151004
1237075,a13346560676,477.2,20151004
1397544,a1350401a,406.4,20151004
1387354,a136122493,6.4,20151004
1043481,a13964363450,866.8,20151004
1401417,a15044052940,20,20151004
1390897,a15087863375,0.8,20151004
1268220,a15218998588,1051,20151004
959466,a152750,2871,20151004
1403757,a15298865575,2298,20151004
1276226,a1581122,2,20151004
1109909,a1614268227,4,20151004
841565,a18254355259,0.6,20151004
1375363,a18323290752,1392.2,20151004
1269244,a198509120,10,20151004
1008019,a20130904,2,20151004
793347,a2014a,50,20151004
1334928,a2281062,146,20151004
1236880,a250725910,0.4,20151004
1155578,a2512347gf,1166.2,20151004
1023300,a25772288,1.2,20151004
1187012,a2751330,1.6,20151004
1185553,a279931273,4,20151004
1317360,a284801231,2180.8,20151004
1393224,a292566914,7,20151004
1370662,a292587780,62,20151004
1380481,a304463242,2396,20151004
1374490,a33313333,1.4,20151004
1090090,a3423708,10,20151004
1166922,a348173175,2,20151004
1081054,a365661,142,20151004
1393724,a3685799,2,20151004
872214,a368963091,310,20151004
1397871,a452948133,1,20151004
1287678,a464519762,53,20151004
1368450,a525458246,8,20151004
1368851,a52950309,10,20151004
1212656,a530894452,2,20151004
1380604,a542060065,2,20151004
1381435,a555555,1120,20151004
1236339,a5890369,1268,20151004
1372621,a611271,0.8,20151004
1369792,a6660666,19.2,20151004
1365959,a6661666,0.8,20151004
1254461,a6668,2,20151004
1304654,a692672,30.6,20151004
886629,a718922722,4,20151004
1369657,a78447255,2,20151004
1178320,a841209592,2.8,20151004
1375927,a8582813,2,20151004
1373491,a877890477,24,20151004
1380639,a8883888,56,20151004
1400457,aa1065237533,0.6,20151004
1393449,aa1066010646,100,20151004
299593,aa133a88j,1242,20151004
1270472,aa1789aa,3.4,20151004
967431,aa2689122669,16,20151004
1334699,aa284999239,0.6,20151004
1402509,aa352000488,1,20151004
1111558,aa5310,29.2,20151004
1403406,aa6625253,6.2,20151004
1309744,aaa6688520,368,20151004
1105222,aaaaa138,154,20151004
1398532,ab632514869,0.8,20151004
1373573,abc0769,328.4,20151004
1336299,abc150833,0.4,20151004
1366512,abc2927264,20,20151004
1325271,abc441045976,50,20151004
814771,abcabc6688,42,20151004
1150335,abcdefg009,140.6,20151004
1244154,ac335512,1704.2,20151004
700530,ad88015,16.6,20151004
1289838,adu121121,86,20151004
1399375,af3117915,95,20151004
1390411,aicaiwuge518,411.2,20151004
1183449,aichun,7.6,20151004
1300896,aidou158,4,20151004
1338892,ailaibao,3774,20151004
1277544,aiqingqing,1,20151004
938656,akai420,9.2,20151004
1385353,alexeryy68,72.4,20151004
1299881,alin730228,14,20151004
1240375,alina,6.4,20151004
1381793,amay8,4,20151004
1381406,angus1112,31.2,20151004
1269206,anhaovip1,24,20151004
1263117,ankejun,55.8,20151004
1036382,apap8888,50,20151004
1384252,apt123,4,20151004
1243776,aqlfl888,2570,20151004
1212276,as007地主,620.8,20151004
437764,as71850,28,20151004
920586,asd133201,2,20151004
1160516,asd720350,12,20151004
357207,asd9898,230,20151004
1204293,aswzxsh0219,8,20151004
1381917,atm654844757,8,20151004
997571,awdtankdd,3534.2,20151004
1380488,ayztlx,15260,20151004
1250996,ayzxzxzxzx,0.2,20151004
1403975,a官伟朱莉,6.8,20151004
1272515,b122032297,228.8,20151004
1179242,b2959458016,0.4,20151004
1327732,b35970607,20,20151004
1370420,b5518,875.4,20151004
1257266,babadan512,1120,20151004
814754,baby678,28,20151004
1395094,baihailong528,0.8,20151004
1399862,baishifa1990,32,20151004
1402665,baiyaqi1105,70,20151004
1266872,baojun123,166,20151004
955283,baosheng988,10,20151004
779683,baxla323,3,20151004
1291046,bb923,0.6,20151004
1192757,bbdgm321,14,20151004
1295559,bbff119,84.6,20151004
1312421,bdt123,114,20151004
875802,benlu111,450,20151004
867904,benlu88,25210,20151004
618634,bf1188,0.4,20151004
1289792,bing1314521,84,20151004
1312970,bingo1500,16,20151004
1382208,blackwhite,0.4,20151004
450935,bmw518,6,20151004
1170358,boboaiav619,19,20151004
887063,bobxuan521,257.6,20151004
216391,book10,417.8,20151004
1162830,boss13579,2,20151004
1380638,boss小天,0.6,20151004
599053,bto197733,50,20151004
1375476,byx123,30,20151004
1401827,c15243660332,3,20151004
1399353,caicaicaicai,4.2,20151004
1394634,caican88,16,20151004
1399184,caidajie,0.8,20151004
1367165,caihong1688,0.4,20151004
1343467,caili5,4,20151004
1397393,caiyuan,368.6,20151004
1387058,caoshijie888,1,20151004
1158206,carteryjpgfss,13,20151004
1379053,cb666528,40,20151004
1260249,cc1835,1430,20151004
1399609,cc51279186,0.6,20151004
1380075,ccb13834396936,40,20151004
1001210,cccdd88,3.6,20151004
1399243,cchenenlai,0.2,20151004
712927,ccjlj6888,2,20151004
1268069,cct88,10,20151004
1375459,cctv5588,158,20151004
986967,ccx3636,214,20151004
1393551,cc张张是有光123,0.8,20151004
1375216,cgs152890,2.8,20151004
851289,chang9,2,20151004
1117734,changbai,8,20151004
1398486,chen1211,8,20151004
1273445,chen8961788,46,20151004
1375361,chensha1314,1,20151004
408513,chiqing959,139,20151004
1067213,choushe,523.2,20151004
966772,chuancaizhong,1969.6,20151004
1270989,chyz777,4600.6,20151004
1225834,cici117,23,20151004
1261438,cj18956093775,120.6,20151004
1336441,cjd8888,1020,20151004
