用户ID,用户名,每日投注累积,日期
1393747,a032a,914,20151005
1101961,a03743a,1673.8,20151005
1112093,a11468476,200,20151005
1042323,a119828761,0.8,20151005
1271786,a12010357,13,20151005
1373969,a1300425211,344.6,20151005
1237075,a13346560676,969.6,20151005
1397544,a1350401a,136.2,20151005
1091880,a138138138a,60,20151005
1043481,a13964363450,1104.6,20151005
1401417,a15044052940,44,20151005
1390897,a15087863375,60,20151005
1268220,a15218998588,603.8,20151005
959466,a152750,5215.8,20151005
1403757,a15298865575,4842,20151005
1403934,a1690288599,0.2,20151005
1375363,a18323290752,2324.2,20151005
1395285,a18669517576,0.2,20151005
1269244,a198509120,4,20151005
1403747,a215943026,124.8,20151005
1334928,a2281062,186,20151005
1236880,a250725910,11.6,20151005
1155578,a2512347gf,1136.8,20151005
1023300,a25772288,1.2,20151005
1185553,a279931273,4.6,20151005
1353546,a2822781,52.4,20151005
1317360,a284801231,2572.8,20151005
1393224,a292566914,7,20151005
1370662,a292587780,46,20151005
1380481,a304463242,3837.4,20151005
1090090,a3423708,44,20151005
1081054,a365661,116,20151005
872214,a368963091,152,20151005
1200001,a4575975,1,20151005
1287678,a464519762,3.2,20151005
1368450,a525458246,14,20151005
1089782,a529302798,8,20151005
1368851,a52950309,10,20151005
1380604,a542060065,10,20151005
1307847,a5518,2,20151005
1236339,a5890369,184,20151005
1404512,a623983441,62,20151005
1369792,a6660666,23.6,20151005
1365959,a6661666,11.4,20151005
1254459,a6666,68,20151005
1368204,a6668666,0.6,20151005
1304654,a692672,96.8,20151005
1369657,a78447255,2,20151005
1178320,a841209592,8.6,20151005
1380639,a8883888,26.2,20151005
1045851,a910901,104,20151005
1091741,a91670,2,20151005
1278848,a920117,13.8,20151005
1207818,aa051881,1.8,20151005
1400457,aa1065237533,1.2,20151005
1393449,aa1066010646,70,20151005
299593,aa133a88j,2626,20151005
1270472,aa1789aa,0.8,20151005
1334699,aa284999239,0.6,20151005
1402509,aa352000488,2.6,20151005
1111558,aa5310,9.8,20151005
1309744,aaa6688520,780,20151005
1378564,aaaa147258,100,20151005
1105222,aaaaa138,856,20151005
1307718,aaawbf1999,1.2,20151005
1386237,ab198456,4,20151005
1398532,ab632514869,6.2,20151005
1373573,abc0769,982.4,20151005
1336299,abc150833,0.8,20151005
222738,abcd15,7,20151005
1150335,abcdefg009,0.8,20151005
1244154,ac335512,225.2,20151005
700530,ad88015,21.4,20151005
1266271,ag845381060,18,20151005
1373251,again888888,1.6,20151005
1390411,aicaiwuge518,286,20151005
1183449,aichun,16.6,20151005
1277544,aiqingqing,5,20151005
1404728,alawncai,56.2,20151005
1385353,alexeryy68,11.2,20151005
1381793,amay8,11.8,20151005
1381406,angus1112,27.6,20151005
1269206,anhaovip1,1.2,20151005
1263117,ankejun,108,20151005
1036382,apap8888,20,20151005
1243776,aqlfl888,680,20151005
1212276,as007地主,502,20151005
437764,as71850,30,20151005
1303799,asako,480,20151005
1160516,asd720350,32,20151005
357207,asd9898,678,20151005
1204293,aswzxsh0219,10,20151005
1381917,atm654844757,18,20151005
997571,awdtankdd,1460.8,20151005
1380488,ayztlx,259,20151005
1250996,ayzxzxzxzx,0.8,20151005
1200834,az1966,10,20151005
1403975,a官伟朱莉,4.8,20151005
1272515,b122032297,98.8,20151005
942091,b19999,36,20151005
1179242,b2959458016,21,20151005
1370420,b5518,453.4,20151005
1257266,babadan512,4480,20151005
814754,baby678,23,20151005
1395094,baihailong528,0.4,20151005
1399862,baishifa1990,26,20151005
1402665,baiyaqi1105,756,20151005
1266872,baojun123,100,20151005
955283,baosheng988,0.4,20151005
1291046,bb923,0.4,20151005
1295559,bbff119,271.2,20151005
1312421,bdt123,44,20151005
867904,benlu88,41516,20151005
618634,bf1188,0.8,20151005
1334416,bin5201314chao,1,20151005
1289792,bing1314521,52,20151005
1312970,bingo1500,0.4,20151005
1335922,bingxue,17.2,20151005
1170358,boboaiav619,42,20151005
887063,bobxuan521,112,20151005
216391,book10,375,20151005
1380638,boss小天,1.4,20151005
1404182,bozhong,18,20151005
599053,bto197733,86,20151005
1375476,byx123,40,20151005
1256979,caiba126,20.4,20151005
1399353,caicaicaicai,6,20151005
1394634,caican88,10,20151005
1399184,caidajie,0.2,20151005
382367,caihongfh,2,20151005
1397393,caiyuan,857.4,20151005
1330984,caizi520,32.8,20151005
1158206,carteryjpgfss,174,20151005
1379053,cb666528,90,20151005
1380075,ccb13834396936,80,20151005
