"user_id","app_id","ip","time","deviceid"
"1000066",2,"222.88.236.228","2014-10-07 00:26:40","APA91bGjJZQjwnH9_t7HzWCCvwFWPrMdvubVlN5gRZrYUQt1WC0HCls-L6EaO4kgcgB6DXHNzXiYqsW2fhtGg2nbBazEqcF3QO2akjjUQuFSmC5QFSc0DrNlI852GwiwEYJLyfuHlIEbK3Fv7a5J6FmYPcJhT3k3mg"
"1000066",2,"117.136.22.234","2014-10-05 00:01:22","APA91bGjJZQjwnH9_t7HzWCCvwFWPrMdvubVlN5gRZrYUQt1WC0HCls-L6EaO4kgcgB6DXHNzXiYqsW2fhtGg2nbBazEqcF3QO2akjjUQuFSmC5QFSc0DrNlI852GwiwEYJLyfuHlIEbK3Fv7a5J6FmYPcJhT3k3mg"
"1000066",2,"117.136.22.209","2014-10-03 23:33:56","APA91bGjJZQjwnH9_t7HzWCCvwFWPrMdvubVlN5gRZrYUQt1WC0HCls-L6EaO4kgcgB6DXHNzXiYqsW2fhtGg2nbBazEqcF3QO2akjjUQuFSmC5QFSc0DrNlI852GwiwEYJLyfuHlIEbK3Fv7a5J6FmYPcJhT3k3mg"
"1000066",2,"222.88.236.225","2014-09-29 23:35:43","APA91bGjJZQjwnH9_t7HzWCCvwFWPrMdvubVlN5gRZrYUQt1WC0HCls-L6EaO4kgcgB6DXHNzXiYqsW2fhtGg2nbBazEqcF3QO2akjjUQuFSmC5QFSc0DrNlI852GwiwEYJLyfuHlIEbK3Fv7a5J6FmYPcJhT3k3mg"
"1000066",2,"192.168.100.254","2014-09-22 23:14:21","APA91bGjJZQjwnH9_t7HzWCCvwFWPrMdvubVlN5gRZrYUQt1WC0HCls-L6EaO4kgcgB6DXHNzXiYqsW2fhtGg2nbBazEqcF3QO2akjjUQuFSmC5QFSc0DrNlI852GwiwEYJLyfuHlIEbK3Fv7a5J6FmYPcJhT3k3mg"
"1000114",2,"36.47.172.207","2014-10-07 22:29:00","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"1.84.117.91","2014-10-04 09:52:02","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"36.45.122.71","2014-09-26 12:26:03","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"36.45.122.10","2014-09-24 12:17:06","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"192.168.100.254","2014-09-23 13:01:10","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"192.168.100.254","2014-09-22 19:08:03","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000114",2,"192.168.100.254","2014-09-22 18:04:07","APA91bH29SEUfxUIc6cY5rVX3BXj0tr1Ws-YuIXnidqB0B57ijX9yfr0BBpfiFrL8haSf6ho9job9w8xVwsXcz1H3CiGpQkrvCsi9QJnMHrZ_p7SkyoVIeHcOuKDpLufzGzhv0Ev0YPunQuWwrYbA96uh2Uuf2TNMg"
"1000131",2,"123.138.245.162","2014-09-30 20:54:39",NULL
"1000427",1,"123.234.215.6","2014-10-07 12:49:49","13216a659554c2bf8c951496f220fdc46c77fc1ed5718d8fc1b10ac861448bd8"
"1000427",1,"112.225.97.190","2014-09-23 16:16:36","13216a659554c2bf8c951496f220fdc46c77fc1ed5718d8fc1b10ac861448bd8"
"1000427",1,"192.168.100.254","2014-09-22 21:16:31","13216a659554c2bf8c951496f220fdc46c77fc1ed5718d8fc1b10ac861448bd8"
"1000549",1,"122.228.74.63","2014-10-05 23:22:18","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"58.58.133.107","2014-10-03 11:02:16","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"123.138.215.10","2014-10-03 11:02:08","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"114.54.31.93","2014-10-01 23:19:16","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"122.228.74.63","2014-10-01 14:04:31","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"123.150.214.224","2014-10-01 02:14:11","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"123.126.75.15","2014-09-29 23:48:23","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000549",1,"27.219.32.5","2014-09-28 21:12:01","332ed297d63285c12dfc4abe39e7949f6068def79caad65e323775e5dc46fe1e"
"1000610",2,"1.81.119.120","2014-09-26 19:53:35",NULL
"1000765",1,"124.160.209.229","2014-09-30 12:35:05",""
"1001110",2,"117.136.4.12","2014-10-06 21:57:29",NULL
"1001110",2,"117.136.4.13","2014-10-01 12:42:39",NULL
"1001110",2,"117.136.4.14","2014-09-30 23:45:06",NULL
"1001380",1,"117.136.4.225","2014-10-05 19:39:07","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001380",1,"123.174.205.150","2014-10-04 08:20:41","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001380",1,"111.206.163.210","2014-09-28 05:53:59","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001380",1,"221.179.140.172","2014-09-26 10:27:56","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001380",1,"117.136.0.97","2014-09-25 20:43:00","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001380",1,"117.136.0.99","2014-09-25 08:37:42","078ebdff3e45f4601f3f7c003c2904240d98d59af920a7eeee52b9a01856abb8"
"1001411",2,"117.136.48.45","2014-10-04 14:08:33",NULL
"1001411",2,"218.64.252.15","2014-09-27 21:46:51",NULL
"1001411",2,"218.64.252.15","2014-09-23 21:42:35",NULL
"1001614",2,"10.160.42.5","2014-09-28 18:46:11",NULL
"1001614",2,"10.162.98.22","2014-09-26 16:35:07",NULL
"1001614",2,"10.162.98.22","2014-09-26 15:21:33",NULL
"1001614",2,"10.162.98.22","2014-09-26 15:07:44",NULL
"1001614",2,"10.162.98.22","2014-09-26 14:57:13",NULL
"1001614",2,"10.160.31.22","2014-09-26 07:26:03",NULL
"1001614",2,"182.37.117.57","2014-09-26 06:42:53",NULL
"1001614",2,"182.37.117.57","2014-09-26 06:15:32",NULL
"1001614",2,"182.37.117.57","2014-09-26 06:05:32",NULL
"1001614",2,"182.37.117.57","2014-09-25 22:13:17",NULL
"1001614",2,"182.37.117.57","2014-09-25 21:55:36",NULL
"1001614",2,"182.37.117.57","2014-09-25 21:08:17",NULL
"1001654",1,"113.102.144.11","2014-09-28 11:02:55",""
"1001807",1,"58.211.189.10","2014-10-07 14:25:13","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.116.249","2014-10-07 00:58:48","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.116.249","2014-10-06 20:55:19","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.116.249","2014-10-06 14:49:09","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.201.53","2014-10-05 11:24:08","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.201.53","2014-10-04 19:06:44","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.201.53","2014-10-04 11:10:27","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.220.2.130","2014-10-03 11:13:28","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.201.53","2014-10-02 21:46:35","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"114.216.201.53","2014-10-02 11:46:23","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"180.107.165.27","2014-10-01 19:29:24","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"180.107.165.27","2014-10-01 17:41:13","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-29 16:15:16","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"180.106.14.162","2014-09-28 22:11:41","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-27 14:21:03","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-26 14:58:21","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-25 10:05:32","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"121.236.173.127","2014-09-25 00:11:17","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-24 11:58:49","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"58.211.189.10","2014-09-24 11:16:38","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"192.168.100.254","2014-09-23 08:55:29","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"192.168.100.254","2014-09-22 16:35:47","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1001807",1,"192.168.100.254","2014-09-22 16:27:38","5ba5ebf635276333792e8a64fc919133af41c9e120bd2f294746e4791d8c65fb"
"1002020",2,"121.195.191.38","2014-09-24 22:22:07",NULL
"1002099",2,"59.44.151.72","2014-10-07 12:37:20",NULL
"1002099",2,"59.44.151.72","2014-10-05 06:23:53",NULL
"1002099",2,"59.44.151.72","2014-10-04 17:22:00",NULL
"1002122",2,"58.48.137.38","2014-09-26 15:29:49","APA91bGtaKXwMcSYs25IAe1ONpiCBmgIEtlWgIzuizqZWt9upSZkFNK37YsAt9imwVCYos0rnJZP_RqUVBNiCAlFKVU0CaecmpN3IeM-Zg33GqmXEHZpDDySWFgb_W7mh8tvlpvWLOr6BAw4R1kTVAAYorUHFMcFAQ"
"1002122",2,"58.48.137.38","2014-09-26 15:29:41","APA91bGtaKXwMcSYs25IAe1ONpiCBmgIEtlWgIzuizqZWt9upSZkFNK37YsAt9imwVCYos0rnJZP_RqUVBNiCAlFKVU0CaecmpN3IeM-Zg33GqmXEHZpDDySWFgb_W7mh8tvlpvWLOr6BAw4R1kTVAAYorUHFMcFAQ"
"1002122",2,"192.168.100.254","2014-09-22 14:43:19","APA91bGtaKXwMcSYs25IAe1ONpiCBmgIEtlWgIzuizqZWt9upSZkFNK37YsAt9imwVCYos0rnJZP_RqUVBNiCAlFKVU0CaecmpN3IeM-Zg33GqmXEHZpDDySWFgb_W7mh8tvlpvWLOr6BAw4R1kTVAAYorUHFMcFAQ"
"1002259",2,"183.44.104.208","2014-10-04 22:39:15",NULL
"1002323",2,"171.122.161.210","2014-10-07 11:29:07",NULL
"1002323",2,"171.125.248.94","2014-10-05 13:55:24",NULL
"1002323",2,"118.78.17.172","2014-10-04 08:27:32",NULL
"1002323",2,"118.78.17.172","2014-10-04 08:27:18",NULL
"1002323",2,"183.191.232.186","2014-10-01 20:48:48",NULL
"1002323",2,"118.78.17.93","2014-10-01 12:16:27",NULL
"1002323",2,"171.122.206.18","2014-09-30 09:39:50",NULL
"1002323",2,"183.191.169.84","2014-09-29 15:12:25",NULL
"1002323",2,"118.78.15.179","2014-09-25 21:32:39",NULL
"1002716",2,"1.192.210.98","2014-09-29 19:15:25",NULL
"1002798",1,"223.104.8.46","2014-10-07 16:21:51","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
"1002798",1,"223.104.8.39","2014-10-06 18:49:20","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
"1002798",1,"223.104.8.36","2014-10-05 18:10:42","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
"1002798",1,"123.245.45.129","2014-10-04 23:05:49","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
"1002798",1,"58.83.244.7","2014-09-30 15:12:17","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
"1002798",1,"123.245.120.136","2014-09-30 03:45:19","ba995c74129db1aac7ac028e36f5f2ebdc4eb811960220cfef0f753bbccf452d"
