用户ID,"帐户名",销量,日期
1490784,"fabregasjwj",1320,2016/01/25
1290849,"a3394588",1317,2016/01/25
1507814,"azheng888",1300,2016/01/25
1436789,"hq9573",1300,2016/01/25
1496653,"w15051670352",1264,2016/01/25
1293866,"wq2028",1252,2016/01/25
1237825,"cola323",1251,2016/01/25
1235710,"wanglong",1245.6,2016/01/25
916239,"czd88787699",1238,2016/01/25
1463181,"li742548271",1220.2,2016/01/25
1497278,"lala369",1213.4,2016/01/25
1206332,"w972325700",1184.4,2016/01/25
1303434,"lb326140884",1183.6,2016/01/25
1288609,"huangxiaozhon",1182,2016/01/25
1029331,"eeqsnrt628",1174,2016/01/25
1244154,"ac335512",1170.2,2016/01/25
709098,"xiaoliu948",1152,2016/01/25
1503472,"william127",1146,2016/01/25
1374194,"xp0116",1093.2,2016/01/25
803268,"fuman2013",1091.2,2016/01/25
1471944,"t13104379998",1087,2016/01/25
1471765,"yingjie9999",1080,2016/01/25
1508804,"彩头",1072,2016/01/25
1223588,"facaivip56",1041.4,2016/01/25
798691,"mary12345",1025,2016/01/25
1116040,"qq416196984",1020,2016/01/25
1452290,"yefei88",1020,2016/01/25
1482881,"xk643630782",1016,2016/01/25
1174431,"juggbug",1012.8,2016/01/25
1297216,"sun776495852",1004,2016/01/25
1020834,"dajun518",1000,2016/01/25
1245569,"liuq820419",998,2016/01/25
1398598,"传奇逍遥",998,2016/01/25
1456148,"yxy329",992,2016/01/25
1377775,"zsl9898",990,2016/01/25
1452737,"双风",983.8,2016/01/25
1407766,"chenbin400",981.8,2016/01/25
1312970,"bingo1500",970.6,2016/01/25
1312022,"zhaiquan8",970,2016/01/25
1495631,"草屋书生",960.4,2016/01/25
1339447,"nushen1226",954.6,2016/01/25
782391,"eagle123",948,2016/01/25
931005,"helloyao8",917.2,2016/01/25
1030031,"xmg88888",909.4,2016/01/25
1475831,"wq13919117891",907.2,2016/01/25
734432,"cubs169",904,2016/01/25
1185485,"xzc052",903.6,2016/01/25
351459,"tea888",890,2016/01/25
1500462,"k13229988",878.4,2016/01/25
1433942,"ly5527345",848,2016/01/25
1374064,"z987789",846,2016/01/25
1484279,"ylb2016",843.2,2016/01/25
1266725,"zhangjh",842,2016/01/25
1215823,"小涛888",840,2016/01/25
1197744,"shinan19820213",834.4,2016/01/25
1458364,"lingeng168",830,2016/01/25
1445469,"韦雨",828.8,2016/01/25
1368652,"piao5678",824,2016/01/25
1179430,"s5524917",820,2016/01/25
1426534,"zx198198",820,2016/01/25
1469549,"yu197808",818,2016/01/25
1317360,"a284801231",817.8,2016/01/25
1289718,"刘林森",803.6,2016/01/25
1370897,"xfdxuyang888",800,2016/01/25
1473064,"fengchen9988",797.6,2016/01/25
920923,"dm0756",784.8,2016/01/25
1507314,"wangwen12345",782.4,2016/01/25
1492071,"如果有一天你走了",780,2016/01/25
914787,"zjx1019",779.4,2016/01/25
1491594,"wangziyi520",764,2016/01/25
1447418,"zhangg1971923731",762,2016/01/25
1371899,"czy137132",756,2016/01/25
618634,"bf1188",755,2016/01/25
889410,"lynn1113",753,2016/01/25
1462395,"wyr1998",746.6,2016/01/25
1497447,"h554614506",735.6,2016/01/25
1213449,"z2910269",734.2,2016/01/25
1307952,"linpaoge",730,2016/01/25
1445129,"jianghuang369",725.6,2016/01/25
1483492,"赚钱188",724,2016/01/25
1485796,"你好2018",723.4,2016/01/25
1239491,"wyl168",721.8,2016/01/25
1469293,"冷暖自知518",720,2016/01/25
1283497,"fulinshan",700,2016/01/25
1501303,"lsk000",691.2,2016/01/25
1371982,"神马东东",688,2016/01/25
1366306,"wxw18625077521",678,2016/01/25
1507831,"langjianwen516",677.2,2016/01/25
1504804,"yyl369344210",674,2016/01/25
1433439,"wuxiaowei",673,2016/01/25
1395640,"shiyong9",650,2016/01/25
1102639,"z664985226",638.4,2016/01/25
1488416,"zxglxyzszph",629.4,2016/01/25
1490069,"火凤凰0227",622.4,2016/01/25
1488556,"lakea123",620,2016/01/25
1374664,"qqq56435869",616.8,2016/01/25
1289522,"闲情逸致",614,2016/01/25
1125874,"zjc1102",609.2,2016/01/25
1448923,"huasha",600.2,2016/01/25
1431899,"tutuxixi",600,2016/01/25
1311685,"plm0plm",598,2016/01/25
1314351,"zy1340447",598,2016/01/25
1499412,"fengwu90",594,2016/01/25
956914,"liuhui781201",589.4,2016/01/25
740325,"wei3796",589.2,2016/01/25
1191099,"muxiaoquan598",588,2016/01/25
1482969,"胡剑",582,2016/01/25
1307105,"波波abc",580.2,2016/01/25
1479570,"lianhu1",573.2,2016/01/25
1288912,"feixiang767",570.2,2016/01/25
786914,"ysdj321",568,2016/01/25
1446306,"xyq211314",562,2016/01/25
1048878,"l8899l",555.6,2016/01/25
966772,"chuancaizhong",554.4,2016/01/25
1494123,"lxj198798",550,2016/01/25
1480006,"他下面好咸",550,2016/01/25
1472907,"小跳",542,2016/01/25
1432441,"zhongchu2016",540,2016/01/25
1404423,"fgx1015",538,2016/01/25
1235261,"fyb56700",533.6,2016/01/25
1319018,"gggjia1",533,2016/01/25
1468408,"yhy7788",530,2016/01/25
1439588,"manman0913",528,2016/01/25
1403883,"老顽童发发",524.6,2016/01/25
1339137,"vip15777",524,2016/01/25
1229295,"macal888",516,2016/01/25
1258937,"wangshibo1208",513,2016/01/25
1019655,"zhuan807",506,2016/01/25
1510234,"kk7788",504,2016/01/25
1399945,"xiaocan0321",504,2016/01/25
1456750,"韩少1984",502,2016/01/25
947833,"dingweige",500,2016/01/25
1507827,"junboa139",500,2016/01/25
1379442,"zxq789zxqcp588",500,2016/01/25
